"Pattern","Cohort","r","var","span","sex"
"T",1920,0.947375036662412,"CESD",0.5,"m"
"A",1920,0.375188543816328,"CESD",0.5,"m"
"L",1920,0.305269747885866,"CESD",0.5,"m"
"M",1920,0.740593323063521,"CESD",0.5,"m"
"T",1925,0.914258947874606,"CESD",0.5,"m"
"A",1925,0.666562898805118,"CESD",0.5,"m"
"L",1925,0.159169422229424,"CESD",0.5,"m"
"M",1925,0.919937485867321,"CESD",0.5,"m"
"T",1905,0.922251525048538,"LIMWORK",0.5,"f"
"A",1905,0.376849241238373,"LIMWORK",0.5,"f"
"L",1905,0.248662083999644,"LIMWORK",0.5,"f"
"M",1905,0.767798420742897,"LIMWORK",0.5,"f"
"T",1910,0.920595632259916,"LIMWORK",0.5,"f"
"A",1910,0.56863306497049,"LIMWORK",0.5,"f"
"L",1910,0.0112028524294093,"LIMWORK",0.5,"f"
"M",1910,0.85758747552762,"LIMWORK",0.5,"f"
"T",1915,0.941059855083482,"LIMWORK",0.5,"f"
"A",1915,0.541222212555601,"LIMWORK",0.5,"f"
"L",1915,0.0515030679902535,"LIMWORK",0.5,"f"
"M",1915,0.846743954706237,"LIMWORK",0.5,"f"
"T",1920,0.94720238598014,"LIMWORK",0.5,"f"
"A",1920,0.450053232718747,"LIMWORK",0.5,"f"
"L",1920,0.230281051506182,"LIMWORK",0.5,"f"
"M",1920,0.793027951541803,"LIMWORK",0.5,"f"
"T",1925,0.973435021128862,"LIMWORK",0.5,"f"
"A",1925,0.510298372045661,"LIMWORK",0.5,"f"
"L",1925,0.368880072137625,"LIMWORK",0.5,"f"
"M",1925,0.856554247443027,"LIMWORK",0.5,"f"
"T",1905,0.863113653294468,"LIMWORK",0.5,"m"
"A",1905,0.601191206741182,"LIMWORK",0.5,"m"
"L",1905,0.00632763131242726,"LIMWORK",0.5,"m"
"M",1905,0.904414116221163,"LIMWORK",0.5,"m"
"T",1910,0.896007329087531,"LIMWORK",0.5,"m"
"A",1910,0.629131429443851,"LIMWORK",0.5,"m"
"L",1910,0.0647824216355909,"LIMWORK",0.5,"m"
"M",1910,0.891198535603593,"LIMWORK",0.5,"m"
"T",1915,0.836423379008941,"LIMWORK",0.5,"m"
"A",1915,0.63006010526625,"LIMWORK",0.5,"m"
"L",1915,0.104010028412307,"LIMWORK",0.5,"m"
"M",1915,0.872594008277286,"LIMWORK",0.5,"m"
"T",1920,0.864240142355279,"LIMWORK",0.5,"m"
"A",1920,0.750366535237255,"LIMWORK",0.5,"m"
"L",1920,0.12962042294858,"LIMWORK",0.5,"m"
"M",1920,0.961909644172694,"LIMWORK",0.5,"m"
"T",1925,0.927047182853828,"LIMWORK",0.5,"m"
"A",1925,0.609585070530614,"LIMWORK",0.5,"m"
"L",1925,0.227697215615975,"LIMWORK",0.5,"m"
"M",1925,0.891933111350537,"LIMWORK",0.5,"m"
"T",1905,0.819542691969891,"SRH",0.5,"f"
"A",1905,0.0334191391772626,"SRH",0.5,"f"
"L",1905,0.556489732009957,"SRH",0.5,"f"
"M",1905,0.406852283087117,"SRH",0.5,"f"
"T",1910,0.855837233320029,"SRH",0.5,"f"
"A",1910,0.0200941860943667,"SRH",0.5,"f"
"L",1910,0.559142113259638,"SRH",0.5,"f"
"M",1910,0.387514365256998,"SRH",0.5,"f"
"T",1915,0.91875283723309,"SRH",0.5,"f"
"A",1915,0.143780752645026,"SRH",0.5,"f"
"L",1915,0.434894482792547,"SRH",0.5,"f"
"M",1915,0.539474044584823,"SRH",0.5,"f"
"T",1920,0.966423144401497,"SRH",0.5,"f"
"A",1920,0.265359699398073,"SRH",0.5,"f"
"L",1920,0.428780019775505,"SRH",0.5,"f"
"M",1920,0.673140712375136,"SRH",0.5,"f"
"T",1925,0.976265279121627,"SRH",0.5,"f"
"A",1925,0.334431963146884,"SRH",0.5,"f"
"L",1925,0.54730268845108,"SRH",0.5,"f"
"M",1925,0.749715768763473,"SRH",0.5,"f"
"T",1905,0.936855210857317,"SRH",0.5,"m"
"A",1905,0.00768356995547415,"SRH",0.5,"m"
"L",1905,0.608344771396049,"SRH",0.5,"m"
"M",1905,0.487915020044792,"SRH",0.5,"m"
"T",1910,0.943610869796527,"SRH",0.5,"m"
"A",1910,0.0452449239413616,"SRH",0.5,"m"
"L",1910,0.549087109781029,"SRH",0.5,"m"
"M",1910,0.477586418917843,"SRH",0.5,"m"
"T",1915,0.972268338432679,"SRH",0.5,"m"
"A",1915,0.402719464956889,"SRH",0.5,"m"
"L",1915,0.209662436736536,"SRH",0.5,"m"
"M",1915,0.757998894000191,"SRH",0.5,"m"
"T",1920,0.94479478860549,"SRH",0.5,"m"
"A",1920,0.58007136539251,"SRH",0.5,"m"
"L",1920,0.098533646333924,"SRH",0.5,"m"
"M",1920,0.883029522211567,"SRH",0.5,"m"
"T",1925,0.92370509450445,"SRH",0.5,"m"
"A",1925,0.659107602850373,"SRH",0.5,"m"
"L",1925,0.17515620546097,"SRH",0.5,"m"
"M",1925,0.920600912732168,"SRH",0.5,"m"
"T",1905,0.843703175843526,"BMI",0.5,"f"
"A",1905,0.578847575279205,"BMI",0.5,"f"
"L",1905,0.0142235295349104,"BMI",0.5,"f"
"M",1905,0.877476049482667,"BMI",0.5,"f"
"T",1910,0.788548210995842,"BMI",0.5,"f"
"A",1910,0.709513307929526,"BMI",0.5,"f"
"L",1910,0.212847280724509,"BMI",0.5,"f"
"M",1910,0.900681086673017,"BMI",0.5,"f"
"T",1915,0.708202466719749,"BMI",0.5,"f"
"A",1915,0.732201615567671,"BMI",0.5,"f"
"L",1915,0.286141247035118,"BMI",0.5,"f"
"M",1915,0.879834576262675,"BMI",0.5,"f"
"T",1920,0.86343240974224,"BMI",0.5,"f"
"A",1920,0.685010024543095,"BMI",0.5,"f"
"L",1920,0.0648440714656621,"BMI",0.5,"f"
"M",1920,0.915651505717707,"BMI",0.5,"f"
"T",1925,0.878072688216563,"BMI",0.5,"f"
"A",1925,0.540301756483793,"BMI",0.5,"f"
"L",1925,0.252748178180392,"BMI",0.5,"f"
"M",1925,0.82195545909703,"BMI",0.5,"f"
"T",1905,0.856986922059575,"BMI",0.5,"m"
"A",1905,0.544815802470283,"BMI",0.5,"m"
"L",1905,0.0537529540400106,"BMI",0.5,"m"
"M",1905,0.859024545288112,"BMI",0.5,"m"
"T",1910,0.910344880276729,"BMI",0.5,"m"
"A",1910,0.548085910955554,"BMI",0.5,"m"
"L",1910,0.0252935841326084,"BMI",0.5,"m"
"M",1910,0.837423301128752,"BMI",0.5,"m"
"T",1915,0.931678440019035,"BMI",0.5,"m"
"A",1915,0.38987850022534,"BMI",0.5,"m"
"L",1915,0.196937908694598,"BMI",0.5,"m"
"M",1915,0.729319933191235,"BMI",0.5,"m"
"T",1920,0.896007576855657,"BMI",0.5,"m"
"A",1920,0.552307443244413,"BMI",0.5,"m"
"L",1920,0.0912558358212579,"BMI",0.5,"m"
"M",1920,0.83896796010853,"BMI",0.5,"m"
"T",1925,0.88148200132634,"BMI",0.5,"m"
"A",1925,0.729714038370418,"BMI",0.5,"m"
"L",1925,0.0664150895943238,"BMI",0.5,"m"
"M",1925,0.940618389447779,"BMI",0.5,"m"
"T",1905,0.364473495452545,"BACK",0.5,"f"
"A",1905,0.89825008001516,"BACK",0.5,"f"
"L",1905,0.560639681494783,"BACK",0.5,"f"
"M",1905,0.807746774060857,"BACK",0.5,"f"
"T",1910,0.410787047557562,"BACK",0.5,"f"
"A",1910,0.894033926801217,"BACK",0.5,"f"
"L",1910,0.570579882100186,"BACK",0.5,"f"
"M",1910,0.813468368192823,"BACK",0.5,"f"
"T",1915,0.339808777558386,"BACK",0.5,"f"
"A",1915,0.889264255025954,"BACK",0.5,"f"
"L",1915,0.608973745081332,"BACK",0.5,"f"
"M",1915,0.761194739713303,"BACK",0.5,"f"
"T",1920,0.35909147751157,"BACK",0.5,"f"
"A",1920,0.947708197421452,"BACK",0.5,"f"
"L",1920,0.651512395559942,"BACK",0.5,"f"
"M",1920,0.809584304490737,"BACK",0.5,"f"
"T",1925,0.731803526268892,"BACK",0.5,"f"
"A",1925,0.891650578563576,"BACK",0.5,"f"
"L",1925,0.159847052294684,"BACK",0.5,"f"
"M",1925,0.937301664442029,"BACK",0.5,"f"
"T",1905,0.154638652859602,"BACK",0.5,"m"
"A",1905,0.989874643508095,"BACK",0.5,"m"
"L",1905,0.756570368182203,"BACK",0.5,"m"
"M",1905,0.811349522748638,"BACK",0.5,"m"
"T",1910,0.31143294795763,"BACK",0.5,"m"
"A",1910,0.978852000653319,"BACK",0.5,"m"
"L",1910,0.764965525023442,"BACK",0.5,"m"
"M",1910,0.855600458989828,"BACK",0.5,"m"
"T",1915,0.254867819790985,"BACK",0.5,"m"
"A",1915,0.965698479359212,"BACK",0.5,"m"
"L",1915,0.790659903370197,"BACK",0.5,"m"
"M",1915,0.818297696896723,"BACK",0.5,"m"
"T",1920,0.330736178033635,"BACK",0.5,"m"
"A",1920,0.970864869032217,"BACK",0.5,"m"
"L",1920,0.733311454598018,"BACK",0.5,"m"
"M",1920,0.847770752577041,"BACK",0.5,"m"
"T",1925,0.281589795989889,"BACK",0.5,"m"
"A",1925,0.923875889725997,"BACK",0.5,"m"
"L",1925,0.669552105022645,"BACK",0.5,"m"
"M",1925,0.726310740619197,"BACK",0.5,"m"
"T",1905,0.743592051028552,"HOSP",0.5,"f"
"A",1905,0.684324187712941,"HOSP",0.5,"f"
"L",1905,0.146124484585856,"HOSP",0.5,"f"
"M",1905,0.903606302694025,"HOSP",0.5,"f"
"T",1910,0.851100038789009,"HOSP",0.5,"f"
"A",1910,0.561825465194224,"HOSP",0.5,"f"
"L",1910,0.0257612536154066,"HOSP",0.5,"f"
"M",1910,0.819818776793029,"HOSP",0.5,"f"
"T",1915,0.81274300799497,"HOSP",0.5,"f"
"A",1915,0.742022951079717,"HOSP",0.5,"f"
"L",1915,0.230117863615577,"HOSP",0.5,"f"
"M",1915,0.936336111445209,"HOSP",0.5,"f"
"T",1920,0.892953259585034,"HOSP",0.5,"f"
"A",1920,0.708503534966167,"HOSP",0.5,"f"
"L",1920,0.0671340391772931,"HOSP",0.5,"f"
"M",1920,0.947008904800684,"HOSP",0.5,"f"
"T",1925,0.960632247527303,"HOSP",0.5,"f"
"A",1925,0.634284920976336,"HOSP",0.5,"f"
"L",1925,0.233330427230399,"HOSP",0.5,"f"
"M",1925,0.925858596400368,"HOSP",0.5,"f"
"T",1905,0.840154114059055,"HOSP",0.5,"m"
"A",1905,0.381333068217197,"HOSP",0.5,"m"
"L",1905,0.189886712387703,"HOSP",0.5,"m"
"M",1905,0.7305878477581,"HOSP",0.5,"m"
"T",1910,0.815158548960748,"HOSP",0.5,"m"
"A",1910,0.42280764714827,"HOSP",0.5,"m"
"L",1910,0.0906188655353987,"HOSP",0.5,"m"
"M",1910,0.699106986743202,"HOSP",0.5,"m"
"T",1915,0.80868549284811,"HOSP",0.5,"m"
"A",1915,0.52117366330628,"HOSP",0.5,"m"
"L",1915,0.0118241962851446,"HOSP",0.5,"m"
"M",1915,0.769514669857483,"HOSP",0.5,"m"
"T",1920,0.887665255339257,"HOSP",0.5,"m"
"A",1920,0.593780166953527,"HOSP",0.5,"m"
"L",1920,0.0437911853374233,"HOSP",0.5,"m"
"M",1920,0.863859657239112,"HOSP",0.5,"m"
"T",1925,0.934422787995243,"HOSP",0.5,"m"
"A",1925,0.565020832455242,"HOSP",0.5,"m"
"L",1925,0.278922887595399,"HOSP",0.5,"m"
"M",1925,0.868567620452275,"HOSP",0.5,"m"
"T",1905,0.843753876054155,"HOSPSTAYS",0.5,"f"
"A",1905,0.437354573574706,"HOSPSTAYS",0.5,"f"
"L",1905,0.144827242478499,"HOSPSTAYS",0.5,"f"
"M",1905,0.785069996450175,"HOSPSTAYS",0.5,"f"
"T",1910,0.88048944574715,"HOSPSTAYS",0.5,"f"
"A",1910,0.382994926477977,"HOSPSTAYS",0.5,"f"
"L",1910,0.16855175308756,"HOSPSTAYS",0.5,"f"
"M",1910,0.705347537126092,"HOSPSTAYS",0.5,"f"
"T",1915,0.810586330470851,"HOSPSTAYS",0.5,"f"
"A",1915,0.552142359350291,"HOSPSTAYS",0.5,"f"
"L",1915,0.0258253982816935,"HOSPSTAYS",0.5,"f"
"M",1915,0.816008402921187,"HOSPSTAYS",0.5,"f"
"T",1920,0.871721633765213,"HOSPSTAYS",0.5,"f"
"A",1920,0.548898671928991,"HOSPSTAYS",0.5,"f"
"L",1920,0.0772210703026097,"HOSPSTAYS",0.5,"f"
"M",1920,0.824338938672216,"HOSPSTAYS",0.5,"f"
"T",1925,0.945911521560273,"HOSPSTAYS",0.5,"f"
"A",1925,0.367764843601719,"HOSPSTAYS",0.5,"f"
"L",1925,0.486555169351993,"HOSPSTAYS",0.5,"f"
"M",1925,0.753364116905047,"HOSPSTAYS",0.5,"f"
"T",1905,0.856504231658518,"HOSPSTAYS",0.5,"m"
"A",1905,0.242489861271301,"HOSPSTAYS",0.5,"m"
"L",1905,0.320719999328114,"HOSPSTAYS",0.5,"m"
"M",1905,0.664247076530518,"HOSPSTAYS",0.5,"m"
"T",1910,0.86905891632906,"HOSPSTAYS",0.5,"m"
"A",1910,0.281024264503596,"HOSPSTAYS",0.5,"m"
"L",1910,0.264068964649581,"HOSPSTAYS",0.5,"m"
"M",1910,0.626504858701663,"HOSPSTAYS",0.5,"m"
"T",1915,0.867295632392138,"HOSPSTAYS",0.5,"m"
"A",1915,0.463238356787296,"HOSPSTAYS",0.5,"m"
"L",1915,0.0830266275799533,"HOSPSTAYS",0.5,"m"
"M",1915,0.753818723158357,"HOSPSTAYS",0.5,"m"
"T",1920,0.909798542762453,"HOSPSTAYS",0.5,"m"
"A",1920,0.454478909602511,"HOSPSTAYS",0.5,"m"
"L",1920,0.198989820566159,"HOSPSTAYS",0.5,"m"
"M",1920,0.777285164612354,"HOSPSTAYS",0.5,"m"
"T",1925,0.93245509040044,"HOSPSTAYS",0.5,"m"
"A",1925,0.36588209422752,"HOSPSTAYS",0.5,"m"
"L",1925,0.476284458089813,"HOSPSTAYS",0.5,"m"
"M",1925,0.744711381456612,"HOSPSTAYS",0.5,"m"
"T",1905,0.851667893699692,"HOSPNIGHTS",0.5,"f"
"A",1905,0.048209994080376,"HOSPNIGHTS",0.5,"f"
"L",1905,0.543470965844903,"HOSPNIGHTS",0.5,"f"
"M",1905,0.429850688778844,"HOSPNIGHTS",0.5,"f"
"T",1910,0.749143056272454,"HOSPNIGHTS",0.5,"f"
"A",1910,0.0137473285427128,"HOSPNIGHTS",0.5,"f"
"L",1910,0.475368696367797,"HOSPNIGHTS",0.5,"f"
"M",1910,0.324653487621661,"HOSPNIGHTS",0.5,"f"
"T",1915,0.86054373739696,"HOSPNIGHTS",0.5,"f"
"A",1915,0.333341733323737,"HOSPNIGHTS",0.5,"f"
"L",1915,0.256044183616139,"HOSPNIGHTS",0.5,"f"
"M",1915,0.660241246526116,"HOSPNIGHTS",0.5,"f"
"T",1920,0.803660149047202,"HOSPNIGHTS",0.5,"f"
"A",1920,0.53481827356447,"HOSPNIGHTS",0.5,"f"
"L",1920,0.0424158638858468,"HOSPNIGHTS",0.5,"f"
"M",1920,0.78016488354243,"HOSPNIGHTS",0.5,"f"
"T",1925,0.908218943486388,"HOSPNIGHTS",0.5,"f"
"A",1925,0.42086416584261,"HOSPNIGHTS",0.5,"f"
"L",1925,0.399412997379,"HOSPNIGHTS",0.5,"f"
"M",1925,0.765111633868292,"HOSPNIGHTS",0.5,"f"
"T",1905,0.839202247157065,"HOSPNIGHTS",0.5,"m"
"A",1905,0.300487045831189,"HOSPNIGHTS",0.5,"m"
